Date,Description,Withdrawals,Deposits,Balance,Category
12/7/17,DEBIT CARD PURCHASE   XXXXX9460 HIGH POINT BARBER SHOP    RICHMOND    VA,$33.00 ,,$155.71 ,Personal / Home & Hygiene
12/7/17,DEBIT CARD PURCHASE   XXXXX9460 SOUTHERN RAILWAY TAPHO    XXXXX8350 VA,$12.00 ,,$188.71 ,Food / On the Go
12/6/17,POS PURCHASE          POS04905013  1117609 FIRESTONE 0239           RICHMOND     VA,$267.43 ,,$200.71 ,Food / On the Go
12/5/17,ATM WITHDRAWAL FEE ,$3.00 ,,$468.14 ,Miscellaneous / ATM Fee
12/5/17,ATM WITHDRAWAL        MACLK65384N1205 9460 2320 E. MAIN ST          RICHMOND     VA,$42.50 ,,$471.14 ,Miscellaneous / ATM Withdrawal
12/5/17,DEBIT CARD PURCHASE   XXXXX9460 SQ *SHOCKOE ESPRESS       RICHMOND    VA,$2.75 ,,$513.64 ,Food / On the Go
12/5/17,ONLINE TRANSFER FROM      XXXXX5154 ,,$310.00 ,$516.39 ,Bank Transfer
12/4/17,POS PURCHASE          POS47797501  4574357 FARM FRESH               RICHMOND     VA,$30.49 ,,$206.39 ,Food / Groceries
12/4/17,ONLINE TRANSFER TO        XXXXX5146 ,$785.87 ,,$236.88 ,Bank Transfer
12/4/17,POS PURCHASE          POS47797501  4574358 FARM FRESH               RICHMOND     VA,$7.15 ,,"$1,022.75 ",Food / Groceries
12/4/17,DEBIT CARD PURCHASE   XXXXX9460 CITYPARKING INC          XXXXX3353 VA,$3.50 ,,"$1,029.90 ",Transportation
12/4/17,DEBIT CARD PURCHASE   XXXXX1923 Etsy Inc Seller Fees      XXXXX7955 NY,$0.20 ,,"$1,033.40 ",Uncategorized
12/4/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$10.00 ,"$1,033.60 ",Bank Transfer
12/4/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$3.50 ,"$1,023.60 ",Bank Transfer
12/4/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$33.00 ,"$1,020.10 ",Bank Transfer
12/1/17,ACH WEB-RECUR   1KFKY3 AMERICAN CIGAR   WEB PMTS,"$1,565.57 ",,$987.10 ,Utilities / Rent
12/1/17,DEBIT CARD PURCHASE   XXXXX9460 SWEET FROG 106201         RICHMOND    VA,$11.04 ,,"$2,552.67 ",Food / On the Go
12/1/17,DEBIT CARD PURCHASE   XXXXX9460 GREEK ON CARY             RICHMOND    VA,$31.00 ,,"$2,563.71 ",Food / On the Go
12/1/17,ACH CREDIT      XXXXX2102AEA PAPER SOURCE     DIRECT DEP,,$785.87 ,"$2,594.71 ",Transportation / Travel
11/30/17,DEBIT CARD PURCHASE   XXXXX1923 JALAPENO'S MEXICAN GRI    RICHMOND    VA,$10.96 ,,"$1,808.84 ",Food / On the Go
11/29/17,POS PURCHASE          POS004       1080707 OLD NAVY US 61           RICHMOND     VA,$66.28 ,,"$1,819.80 ",Personal / Home & Hygiene
11/28/17,POS PURCHASE          POS99999999  1063389 AUTOZONE  2017           RICHMOND     VA,$172.13 ,,"$1,886.08 ",Transportation / Maintenance
11/28/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$172.13 ,"$2,058.21 ",Bank Transfer
11/27/17,POS PURCHASE          POS47797501  4029088 FARM FRESH               RICHMOND     VA,$51.13 ,,"$1,886.08 ",Food / Groceries
11/27/17,POS PURCHASE          POS47797501  3843638 FARM FRESH               RICHMOND     VA,$76.64 ,,"$1,937.21 ",Food / Groceries
11/27/17,POS PURCHASE          POS11273601  3843639 UPPY'S #23               RICHMOND     VA,$24.48 ,,"$2,013.85 ",Personal / Home & Hygiene
11/27/17,DEBIT CARD PURCHASE   XXXXX1923 AZIZI LLC                 CHARLOTTESV VA,$9.56 ,,"$2,038.33 ",Uncategorized
11/27/17,DEBIT CARD PURCHASE   XXXXX9460 MELLOW MUSHROOMCHVLLE     CHARLOTTESV VA,$26.06 ,,"$2,047.89 ",Food / On the Go
11/27/17,DEBIT CARD PURCHASE   XXXXX1923 GRAND CAVERNS             GROTTOES    VA,$6.31 ,,"$2,073.95 ",Fun
11/27/17,DEBIT CARD PURCHASE   XXXXX1923 GRAND CAVERNS             GROTTOES    VA,$40.00 ,,"$2,080.26 ",Fun
11/27/17,POS PURCHASE          POS15828501  4029087 VIRGINIA OIL #           CHARLOTTESVI VA,$5.88 ,,"$2,120.26 ",Food / On the Go
11/27/17,ONLINE TRANSFER TO        XXXXX5146 ,$597.92 ,,"$2,126.14 ",Bank Transfer
11/27/17,POS PURCHASE          POS45020043  3843640 WAL-MART SUPER           RICHMAND     VA,$1.94 ,,"$2,724.06 ",Personal / Home & Hygiene
11/27/17,DEBIT CARD PURCHASE   XXXXX9460 INSOMNIA COOKIES - RIC    RICHMOND    VA,$10.11 ,,"$2,726.00 ",Food / On the Go
11/27/17,DEBIT CARD PURCHASE   XXXXX9460 CKE*THE PIT AND THE  1    RICHMOND    VA,$16.12 ,,"$2,736.11 ",Food / On the Go
11/27/17,DEBIT CARD PURCHASE   XXXXX9460 REDBOX *DVD RENTAL        OAKBROOK TE IL,$1.59 ,,"$2,752.23 ",Fun
11/27/17,DEBIT CARD PURCHASE   XXXXX9460 NY DELI                   RICHMOND    VA,$16.00 ,,"$2,753.82 ",Food / On the Go
11/27/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$25.00 ,"$2,769.82 ",Bank Transfer
11/27/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$39.00 ,"$2,744.82 ",Bank Transfer
11/24/17,POS PURCHASE          POS47797501  2685455 FARM FRESH               RICHMOND     VA,$76.45 ,,"$2,705.82 ",Food / Groceries
11/24/17,DEBIT CARD PURCHASE   XXXXX9460 SQ *BEV'S HOMEMADE        RICHMOND    VA,$9.85 ,,"$2,782.27 ",Food / On the Go
11/24/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$36.00 ,"$2,792.12 ",Bank Transfer
11/24/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$27.00 ,"$2,756.12 ",Bank Transfer
11/24/17,ACH CREDIT      XXXXX9268 CARMAX AUTO SUPE PAYROLL,,"$2,572.28 ","$2,729.12 ",Paycheck
11/22/17,DEBIT CARD PURCHASE   XXXXX9460 AMAZON MKTPLACE PMTS      AMZN.COM/BI WA,$15.89 ,,$156.84 ,Uncategorized
11/22/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$26.00 ,$172.73 ,Bank Transfer
11/21/17,POS PURCHASE          POS09126387  1276055 PAPER SOURCE C           RICHMOND     VA,$26.53 ,,$146.73 ,Fun
11/20/17,POS PURCHASE          POS99999999  4192900 PUBLIX SUPER M           RICHMOND     VA,$2.43 ,,$173.26 ,Food / Groceries
11/20/17,POS PURCHASE          POS08997076  4192901 PETSMART # 177           RICHMOND     VA,$10.52 ,,$175.69 ,Personal / Pets
11/20/17,ONLINE TRANSFER TO        XXXXX5146 ,$668.24 ,,$186.21 ,Bank Transfer
11/20/17,POS PURCHASE          POS09744458  4392903 FOR THE LOVE O           RICHMOND     VA,$0.67 ,,$854.45 ,Food / On the Go
11/20/17,POS PURCHASE          POS01050417  4392902 KROGER                   RICHMOND     VA,$95.09 ,,$855.12 ,Food / Groceries
11/20/17,DEBIT CARD PURCHASE   XXXXX9460 WAFFLE HOUSE 1246         MIDLOTHIAN  VA,$22.99 ,,$950.21 ,Food / On the Go
11/17/17,DEBIT CARD PURCHASE   XXXXX9460 THE DAILY KITCHEN & BA    RICHMOND    VA,$40.00 ,,$973.20 ,Food / On the Go
11/17/17,ACH CREDIT      XXXXX1816AEA PAPER SOURCE     DIRECT DEP,,$668.24 ,"$1,013.20 ",Transportation / Travel
11/16/17,DEBIT CARD PURCHASE   XXXXX1923 SHELLAC NAILS AND SPA     RICHMOND    VA,$40.00 ,,$344.96 ,Personal / Home & Hygiene
11/14/17,DEBIT CARD PURCHASE   XXXXX1923 GREEK ON CARY             RICHMOND    VA,$13.52 ,,$384.96 ,Food / On the Go
11/14/17,DEBIT CARD PURCHASE   XXXXX9460 JIMMY JOHNS - 1741        RICHMOND    VA,$5.84 ,,$398.48 ,Food / On the Go
11/14/17,DEBIT CARD PURCHASE   XXXXX9460 SPDPAYRICHMONDPU         XXXXX3000 VA,$31.49 ,,$404.32 ,Utilities / Gas
11/14/17,DEBIT CARD PURCHASE   XXXXX1923 EXXONMOBIL    48076574    TAYLOR      MI,$15.06 ,,$435.81 ,Transportation / Gas & Fuel
11/14/17,DEBIT CARD PURCHASE   XXXXX1923 POTBELLY - 110            DETROIT     MI,$21.24 ,,$450.87 ,Food / On the Go
11/14/17,DEBIT CARD PURCHASE   XXXXX1923 ILLY COFFEE - 104         DETROIT     MI,$2.75 ,,$472.11 ,Food / On the Go
11/14/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$12.00 ,$474.86 ,Bank Transfer
11/13/17,POS PURCHASE          POS99999999  4181016 MEIJER # 035 1           TAYLOR       MI,$27.29 ,,$462.86 ,Food / Groceries
11/13/17,DEBIT CARD PURCHASE   XXXXX9460 WAFFLE HOUSE 1246         MIDLOTHIAN  VA,$8.00 ,,$490.15 ,Food / On the Go
11/13/17,POS PURCHASE          POS99999999  4181015 WALGREENS STOR           DEARBORN HEI MI,$9.89 ,,$498.15 ,Personal / Home & Hygiene
11/13/17,DEBIT CARD PURCHASE   XXXXX1923 STARBUCKS STORE 02277     DEARBORN    MI,$3.45 ,,$508.04 ,Food / On the Go
11/13/17,POS PURCHASE          POS99999999  3986240 GAMESTOP #2410           RICHMOND     VA,$63.17 ,,$511.49 ,Fun
11/13/17,POS PURCHASE          POS07041305  4181017 BABIES R US #6           TAYLOR       MI,$11.91 ,,$574.66 ,Giving / Gifts
11/13/17,DEBIT CARD PURCHASE   XXXXX1923 ALCAMOS MARKET            DEARBORN    MI,$6.00 ,,$586.57 ,Food / On the Go
11/13/17,DEBIT CARD PURCHASE   XXXXX9460 SQ *GOATOCADO             RICHMOND    VA,$14.30 ,,$592.57 ,Food / On the Go
11/13/17,DEBIT CARD PURCHASE   XXXXX9460 AMAZON MKTPLACE PMTS      AMZN.COM/BI WA,$5.06 ,,$606.87 ,Uncategorized
11/13/17,DEBIT CARD PURCHASE   XXXXX1923 BIERKELLER TAVERN AND     TAYLOR      MI,$22.12 ,,$611.93 ,Food / On the Go
11/13/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$31.00 ,$634.05 ,Bank Transfer
11/13/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$68.23 ,$603.05 ,Bank Transfer
11/10/17,POS PURCHASE          POS07828851  1422021 ULTA #342                ALLEN PARK   MI,$6.36 ,,$534.82 ,Personal / Home & Hygiene
11/10/17,ONLINE TRANSFER TO        XXXXX5146 ,"$2,134.05 ",,$541.18 ,Bank Transfer
11/10/17,DEBIT CARD PURCHASE   XXXXX1923 GOOGLE *YouTube Videos    g.co/helppa CA,$2.99 ,,"$2,675.23 ",Fun
11/10/17,DEBIT CARD PURCHASE   XXXXX1923 HUDSONNEWS  ST716         RICHMOND    VA,$2.41 ,,"$2,678.22 ",Uncategorized
11/10/17,ACH CREDIT      XXXXX9268 CARMAX AUTO SUPE PAYROLL,,"$2,572.26 ","$2,680.63 ",Transportation / Travel
11/10/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$40.00 ,$108.37 ,Bank Transfer
11/10/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$6.00 ,$68.37 ,Bank Transfer
11/9/17,POS PURCHASE          POS47797501  1140968 FARM FRESH               RICHMOND     VA,$15.85 ,,$62.37 ,Food / Groceries
11/9/17,POS PURCHASE          POS00MM7L40  1194477 7-ELEVEN                 RICHMOND     VA,$7.66 ,,$78.22 ,Food / On the Go
11/9/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$16.00 ,$85.88 ,Bank Transfer
11/8/17,POS PURCHASE          POS99999999  1119212 DSW SHOPS AT W           RICHMOND     VA,$11.80 ,,$69.88 ,Personal / Clothes
11/8/17,DEBIT CARD PURCHASE   XXXXX1923 ADOBE PHOTOGPHY PLAN     XXXXX6687 CA,$9.99 ,,$81.68 ,Uncategorized
11/7/17,ACH DEBIT       XXXXX7606 DOMINION ENERGY  ELEC BILL,$54.81 ,,$91.67 ,Utilities / Electric
11/7/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$55.00 ,$146.48 ,Bank Transfer
11/6/17,POS PURCHASE          POS47797501  4365418 FARM FRESH               RICHMOND     VA,$56.77 ,,$91.48 ,Food / Groceries
11/6/17,POS PURCHASE          POS47797501  4165934 FARM FRESH               RICHMOND     VA,$4.37 ,,$148.25 ,Food / Groceries
11/6/17,ONLINE TRANSFER TO        XXXXX5146 ,$77.08 ,,$152.62 ,Bank Transfer
11/6/17,ONLINE TRANSFER TO        XXXXX5146 ,$602.94 ,,$229.70 ,Bank Transfer
11/6/17,DEBIT CARD PURCHASE   XXXXX1923 REDBOX DVD RENTAL        XXXXX2693 IL,$2.13 ,,$832.64 ,Fun
11/6/17,POS PURCHASE          POS005       4365417 WORLD OF MIRTH           RICHMOND     VA,$23.59 ,,$834.77 ,Fun
11/6/17,DEBIT CARD PURCHASE   XXXXX1923 SQ *BEV'S HOMEMADE        RICHMOND    VA,$4.39 ,,$858.36 ,Food / On the Go
11/6/17,DEBIT CARD PURCHASE   XXXXX1923 THE DAILY KITCHEN & BA    RICHMOND    VA,$15.13 ,,$862.75 ,Food / On the Go
11/6/17,DEBIT CARD PURCHASE   XXXXX1923 CLEMENTINE                RICHMOND    VA,$28.43 ,,$877.88 ,Food / On the Go
11/6/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$3.00 ,$906.31 ,Bank Transfer
11/6/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$40.00 ,$903.31 ,Bank Transfer
11/3/17,DEBIT CARD PURCHASE   XXXXX9460 INSOMNIA COOKIES - RIC    RICHMOND    VA,$10.11 ,,$863.31 ,Food / On the Go
11/3/17,ACH CREDIT      XXXXX1275AEA PAPER SOURCE     DIRECT DEP,,$602.94 ,$873.42 ,Transportation / Travel
11/2/17,POS PURCHASE          POS01050912  1190408 KROGER                   RICHMOND     VA,$90.23 ,,$270.48 ,Food / Groceries
11/2/17,DEBIT CARD PURCHASE   XXXXX1923 OLD NAVY US 6180          RICHMOND    VA,$24.16 ,,$360.71 ,
11/2/17,DEBIT CARD PURCHASE   XXXXX1923 PANERA BREAD #1055        RICHMOND    VA,$11.14 ,,$384.87 ,Personal / Clothes
11/2/17,DEBIT CARD PURCHASE   XXXXX1923 Etsy Inc Seller Fees      XXXXX7955 NY,$1.00 ,,$396.01 ,Uncategorized
11/2/17,ACH CREDIT      5P5J2AAPVWNF2 PAYPAL           TRANSFER,,$77.08 ,$397.01 ,Uncategorized
11/1/17,POS PURCHASE          POS99999999  1167186 DSW SHOPS AT W           RICHMOND     VA,$121.07 ,,$319.93 ,Personal / Clothes
11/1/17,ACH WEB-RECUR   Q8RMW3 AMERICAN CIGAR   WEB PMTS,"$1,624.64 ",,$441.00 ,Utilities / Rent
11/1/17,DEBIT CARD PURCHASE   XXXXX9460 LITTLE MEXICO             RICHMOND    VA,$31.16 ,,"$2,065.64 ",Food / On the Go
11/1/17,DEBIT CARD PURCHASE   XXXXX1923 SMOOTHIE KING #446        RICHMOND    VA,$5.55 ,,"$2,096.80 ",Food / On the Go
11/1/17,DEBIT CARD PURCHASE   XXXXX9460 STEAMGAMESCOM42595229    XXXXX2985 WA,$39.99 ,,"$2,102.35 ",Fun
11/1/17,POS RETURN            POS99999999  1167185 DSW SHOPS AT W           RICHMOND     VA,,$21.06 ,"$2,142.34 ",Uncategorized
10/31/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$135.00 ,"$2,121.28 ",Bank Transfer
10/30/17,ACH WEBSINGLE  XXXXX1703S ALLY             ALLY PAYMT,$134.95 ,,"$1,986.28 ",
10/30/17,POS PURCHASE          POS47797501  4028167 FARM FRESH               RICHMOND     VA,$40.82 ,,"$2,121.23 ",
10/30/17,POS PURCHASE          POS26029901  4226216 FOOD LION #029           MIDLOTHIAN   VA,$2.65 ,,"$2,162.05 ",
10/30/17,DEBIT CARD PURCHASE   XXXXX9460 ESANNTHAI&SUSHI           WWW.ESANNTH VA,$11.53 ,,"$2,164.70 ",
10/30/17,ONLINE TRANSFER TO        XXXXX5146 ,$496.50 ,,"$2,176.23 ",Bank Transfer
10/30/17,POS PURCHASE          POS47797501  4028168 FARM FRESH               RICHMOND     VA,$1.73 ,,"$2,672.73 ",
