Date,Description,Withdrawals,Deposits,Balance
2/24/18,BP#9759606MALVERN BP      RICHMOND VA,$34.26 ,,
2/23/18,GOOGLE *PROJECT FI        g.co/helppay# CA,$42.56 ,,
2/19/18,ONLINE CREDIT CARD PMT 02/20 XXXX3466,,"$1,899.64 ",
2/19/18,COMCAST                   800-COMCAST MD,$72.38 ,,
2/17/18,NAPA STORE 1250002        RICHMOND VA,$26.31 ,,
2/14/18,Blackbird West End LLC    Richmond VA,$75.00 ,,
2/12/18,L2G*US TREAS TAX PYMT     888-658-5465 MD,"$1,589.00 ",,
2/12/18,L2G*SERVICE FEE           888-658-5465 MD,$39.57 ,,
2/12/18,EXXONMOBIL    47616495    RICHMOND VA,$37.38 ,,
2/11/18,INTUIT *TURBOTAX          800-446-8848 CA,$113.97 ,,
2/8/18,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
2/4/18,ONLINE CREDIT CARD PMT 02/04 XXXX3466,,$79.85 ,
2/1/18,SPDPAY/RICHMONDPU         804-644-3000 VA,$69.58 ,,
1/31/18,DIGITALOCEAN.COM          DIGITALOCEAN. NY,$10.27 ,,
1/29/18,ONLINE CREDIT CARD PMT 01/30 XXXX3466,,$175.33 ,
1/27/18,CARRABBAS 9702            RICHMOND VA,$34.27 ,,
1/26/18,PETSMART # 0675           CHESTERFIELD VA,$49.99 ,,
1/23/18,GOOGLE *PROJECT FI        g.co/helppay# CA,$91.07 ,,
1/22/18,ONLINE CREDIT CARD PMT 01/22 XXXX3466,,"$1,811.89 ",
1/19/18,WPY*Sally Family Help     855-469-3729 CA,"$1,100.00 ",,
1/19/18,COMCAST                   800-COMCAST MD,$72.38 ,,
1/19/18,WPY*GoFundMe              855-469-3729 CA,$55.00 ,,
1/16/18,HEROKU DEC-14765040       HEROKU.COM CA,$12.50 ,,
1/15/18,BP#8335184FASMART #55     RICHMOND VA,$15.13 ,,
1/12/18,DELTA AIR   0067094277517BELLEVUE WA,$242.00 ,,
1/12/18,AMERICAN AIR0017094277516FORT WORTH TX,$188.00 ,,
1/12/18,PAPER SOURCE CARY         RICHMOND VA,$8.95 ,,
1/12/18,Orbitz*7321985536997      ORBITZ.COM WA,$3.57 ,,
1/9/18,CARYTOWN MASSAGE          RICHMOND VA,$95.95 ,,
1/8/18,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
1/7/18,ONLINE CREDIT CARD PMT 01/07 XXXX3466,,$56.48 ,
1/4/18,WAWA 672      00006726    RICHMOND VA,$31.18 ,,
1/1/18,DIGITALOCEAN.COM          DIGITALOCEAN. NY,$10.25 ,,
12/29/17,WAWA 672      00006726    RICHMOND VA,$15.05 ,,
12/28/17,ONLINE CREDIT CARD PMT 12/28 XXXX3466,,$594.13 ,
12/26/17,KROGER #775               SOUTHGATE MI,$32.91 ,,
12/23/17,GOOGLE *PROJECT FI        g.co/helppay# CA,$77.28 ,,
12/21/17,PAPER SOURCE ROCHESTER    ROCHESTER HIL MI,$79.92 ,,
12/21/17,LOFT #1711                ROCHESTER HIL MI,$69.00 ,,
12/21/17,HUDSONNEWS  ST716         RICHMOND VA,$2.41 ,,
12/21/17,HUDSONNEWS  ST716         RICHMOND VA,$2.41 ,,
12/20/17,DELTA AIR   0067090999742DALLAS TX,,$178.80 ,
12/20/17,DELTA AIR   0067090999743DALLAS TX,,$178.80 ,
12/20/17,PARK N GO OF VIRGINIA  EC804-652-2150 VA,$37.73 ,,
12/20/17,DELTA AIR   Baggage Fee   RICHMOND VA,$25.00 ,,
12/19/17,COMCAST                   800-COMCAST MD,$70.31 ,,
12/18/17,ALAMO RENT-A-CAR          MELBOURNE FL,$194.67 ,,
12/17/17,FANDANGO.COM              FANDANGO.COM CA,$28.47 ,,
12/16/17,DILLARD'S 515 FASHION SQUORLANDO FL,$142.77 ,,
12/16/17,VICTORIA'S SECRET #1493   ORLANDO FL,$17.00 ,,
12/15/17,NAIL GARDEN LLC           ORLANDO FL,$55.00 ,,
12/15/17,CITY OF ORLANDO PKG GARL  ORLANDO FL,$4.00 ,,
12/14/17,T.J. MAXX #1499           ORLANDO FL,$55.33 ,,
12/14/17,SPDPAY/RICHMONDPU         804-644-3000 VA,$46.53 ,,
12/13/17,ONLINE CREDIT CARD PMT 12/13 XXXX3466,,$155.79 ,
12/13/17,AIRPORTPARKINGRES         800-727-5464 CA,$10.99 ,,
12/11/17,PROGRESSIVE *INSURANCE    800-776-4737 OH,,$186.40 ,
12/11/17,HEROKU NOV-14723493       HEROKU.COM CA,$5.54 ,,
12/8/17,BASKFIELD AUTOMOTIVE RPR  RICHMOND VA,$85.00 ,,
12/8/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
12/8/17,UBER   TRIP 4OOKE         HELP.UBER.COM CA,$10.35 ,,
12/8/17,UBER   TRIP BZPDZ         HELP.UBER.COM CA,$7.21 ,,
12/8/17,UBER   TIP 4OOKE          HELP.UBER.COM CA,$2.00 ,,
12/8/17,UBER   TIP BZPDZ          HELP.UBER.COM CA,$2.00 ,,
12/7/17,LYFT   *RIDE THU 4PM      LYFT.COM CA,$10.96 ,,
12/7/17,LYFT   *RIDE THU 9AM      LYFT.COM CA,$10.01 ,,
12/7/17,LYFT   *RIDE THU 4PM      LYFT.COM CA,$2.00 ,,
12/7/17,LYFT   *RIDE THU 9AM      LYFT.COM CA,$2.00 ,,
12/6/17,ABT TOWING                804-297-9948 VA,$86.32 ,,
12/6/17,LYFT   *RIDE WED 11AM     LYFT.COM CA,$12.06 ,,
12/6/17,LYFT   *RIDE WED 8PM      LYFT.COM CA,$10.08 ,,
12/6/17,LYFT   *RIDE WED 8PM      LYFT.COM CA,$2.00 ,,
12/5/17,BP#8335184FASMART #55     RICHMOND VA,$35.10 ,,
12/3/17,"THE FOCUSED GROUP, INC    804-4214090 VA",$2.70 ,,
12/1/17,DIGITALOCEAN.COM          DIGITALOCEAN. NY,$5.27 ,,
11/30/17,COPY CAT PRINTING 2       RICHMOND VA,$13.69 ,,
11/28/17,PAPER SOURCE CARY         RICHMOND VA,$19.49 ,,
11/25/17,ONLINE CREDIT CARD PMT 11/25 XXXX3466,,$252.81 ,
11/23/17,PAPER SOURCE ECOMMERCE    312-775-6908 IL,$131.87 ,,
11/23/17,GOOGLE *PROJECT FI        g.co/helppay# CA,$80.97 ,,
11/22/17,ONLINE CREDIT CARD PMT 11/22 XXXX3466,,"$1,082.17 ",
11/21/17,FARM FRESH                RICHMOND VA,$28.95 ,,
11/20/17,NY DELI                   RICHMOND VA,$11.02 ,,
11/19/17,PROGRESSIVE *INSURANCE    800-776-4737 OH,$519.00 ,,
11/19/17,COMCAST                   800-COMCAST MD,$70.30 ,,
11/17/17,VA DMV RICHMOND CENTRAL CRICHMOND VA,$153.50 ,,
11/16/17,PROGRESSIVE *INSURANCE    800-776- CRED IT,,$329.27 ,
11/14/17,DELTA AIR   0067090999742BELLEVUE WA,$321.60 ,,
11/14/17,DELTA AIR   0067090999743BELLEVUE WA,$321.60 ,,
11/11/17,BP#8335184FASMART #55     RICHMOND VA,$25.44 ,,
11/10/17,ONLINE CREDIT CARD PMT 11/10 XXXX3466,,$23.68 ,
11/8/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
10/31/17,DIGITALOCEAN.COM          DIGITALOCEAN. NY,$5.27 ,,
10/27/17,ONLINE CREDIT CARD PMT 10/27 XXXX3466,,"$3,324.73 ",
10/24/17,EXXONMOBIL    47615737    RICHMOND VA,$23.61 ,,
10/23/17,GOOGLE *PROJECT FI        g.co/helppay# CA,$85.15 ,,
10/21/17,AMERICAN RED CROSS        800-733-2767 DC,"$1,000.00 ",,
10/21/17,AMERICAN RED CROSS        800-733-2767 DC,"$1,000.00 ",,
10/19/17,COMCAST                   800-COMCAST MD,$70.32 ,,
10/18/17,Orbitz*7303593700448      ORBITZ.COM WA,$21.99 ,,
10/17/17,DELTA AIR   0068677373148BELLEVUE WA,$351.40 ,,
10/17/17,DELTA AIR   0068677373149BELLEVUE WA,$351.40 ,,
10/17/17,DELTA AIR   0068677400961BELLEVUE WA,$330.40 ,,
10/17/17,GAMESTOP #6467            WILLIAMSBURG VA,$63.59 ,,
10/15/17,BP#8335184FASMART #55     RICHMOND VA,$21.86 ,,
10/13/17,SQ *WHISK                 RICHMOND VA,$5.01 ,,
10/11/17,ONLINE CREDIT CARD PMT 10/11 XXXX3466,,$334.24 ,
10/9/17,EMBERS FIRE & GRILL       DETROIT MI,$8.47 ,,
10/8/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
10/8/17,SQ *ESCAPE VR             Oxford Charte MI,$12.50 ,,
10/7/17,Spring Hill Camps         231-7342616 MI,$30.00 ,,
10/6/17,KOHL'S #0296              LAKE ORION MI,$101.73 ,,
10/2/17,AMAZON.COM AMZN.COM/BILL  AMZN.COM/BILL WA,$49.84 ,,
10/1/17,DIGITALOCEAN.COM          646-397-8051 NY,$5.27 ,,
9/29/17,CHRISTIAN CARE MINISTRY M321-308-7770 FL,$76.00 ,,
9/27/17,THE UPS STORE #3557       RICHMOND VA,$32.02 ,,
9/26/17,ONLINE CREDIT CARD PMT 09/26 XXXX3466,,$71.62 ,
9/23/17,GOOGLE *PROJECT FI        g.co/helppay# CA,$51.59 ,,
9/21/17,EXXONMOBIL    47616495    RICHMOND VA,$20.03 ,,
9/20/17,ONLINE CREDIT CARD PMT 09/20 XXXX3466,,$70.32 ,
9/18/17,COMCAST                   800-COMCAST MD,$70.32 ,,
9/12/17,ONLINE CREDIT CARD PMT 09/12 XXXX3466,,$456.14 ,
9/10/17,PARKING                   800-997-0197 CO,$43.95 ,,
9/9/17,ONLINE CREDIT CARD PMT 09/10 XXXX3466,,$169.44 ,
9/8/17,GAMESTOP #6204            RICHMOND VA,$393.78 ,,
9/8/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
9/5/17,KROGER FUEL #3525         RICHMOND VA,$25.61 ,,
9/4/17,FARM FRESH                RICHMOND VA,$17.50 ,,
9/1/17,ONLINE CREDIT CARD PMT 09/02 XXXX3466,,$62.22 ,
9/1/17,SPDPAY/RICHMONDPU         804-644-3000 VA,$29.52 ,,
9/1/17,AMAZON.COM AMZN.COM/BILL  AMZN.COM/BILL WA,$15.54 ,,
9/1/17,DIGITALOCEAN.COM          646-397-8051 NY,$5.27 ,,
8/30/17,CHRISTIAN CARE MINISTRY M321-308-7770 FL,$76.00 ,,
8/28/17,PETCO 2866    63528665    RICHMOND VA,$31.33 ,,
8/28/17,SPDPAY/RICHMONDPU         804-644-3000 VA,$30.89 ,,
8/27/17,ONLINE CREDIT CARD PMT 08/27 XXXX3466,,$97.93 ,
8/23/17,ONLINE CREDIT CARD PMT 08/23 XXXX3466,,$109.82 ,
8/23/17,GOOGLE *PROJECT FI        g.co/helppay# CA,$72.84 ,,
8/23/17,SUNOCO  0491643300        RICHMOND VA,$25.09 ,,
8/20/17,OFFICEMAX/OFFICE DEPOT681RICHMOND VA,$42.43 ,,
8/20/17,SUNOCO  0187408001        RICHMOND VA,$25.39 ,,
8/19/17,ONLINE CREDIT CARD PMT 08/19 XXXX3466,,$113.96 ,
8/19/17,SQ *REFUGE FOR MEN        Richmond VA,$42.00 ,,
8/18/17,COMCAST                   800-COMCAST MD,$70.32 ,,
8/16/17,THE OLIVE GARD00018275    HENRICO VA,$35.38 ,,
8/16/17,ONLINE CREDIT CARD PMT 08/16 XXXX3466,,$25.06 ,
8/16/17,PUBLIX #1596              RICHMOND VA,$4.90 ,,
8/16/17,7-ELEVEN 26245            RICHMOND VA,$3.36 ,,
8/13/17,FARM FRESH                RICHMOND VA,$6.65 ,,
8/8/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
8/5/17,ONLINE CREDIT CARD PMT 08/05 XXXX3466,,$398.28 ,
8/1/17,FS *bohemiancoding        877-3278914 CA,$69.00 ,,
8/1/17,DIGITALOCEAN.COM          646-397-8051 NY,$5.27 ,,
7/31/17,PETCO 2866    63528665    RICHMOND VA,$37.20 ,,
7/30/17,SHEETZ        00003418    RICHMOND VA,$22.62 ,,
7/28/17,CHRISTIAN CARE MINISTRY M321-308-7770 FL,$76.00 ,,
7/28/17,SPDPAY/RICHMONDPU         804-644-3000 VA,$63.66 ,,
7/28/17,TREEHOUSE                 800-928-2130 FL,$25.00 ,,
7/26/17,GREEK ON CARY             RICHMOND VA,$9.76 ,,
7/23/17,GOOGLE *PROJECT FI        g.co/helppay# CA,$86.24 ,,
7/22/17,MOVIELAND BOULEVARD SQ    RICHMOND VA,$22.00 ,,
7/22/17,Sub Rosa Bakery           Richmond VA,$8.04 ,,
7/21/17,ONLINE CREDIT CARD PMT 07/22 XXXX3466,,$378.88 ,
7/21/17,MICHAELS STORES 1083      HENRICO VA,$25.25 ,,
7/21/17,WAL-MART #7032            HENRICO VA,$9.46 ,,
7/21/17,QDOBA MEXICAN GRILL-576   RICHMOND VA,$8.53 ,,
7/20/17,JIMMY JOHNS - 1741        RICHMOND VA,$6.68 ,,
7/19/17,FIREHOUSE SUBS #42        RICHMOND VA,$11.12 ,,
7/19/17,TROPICAL SMOOTHIE CAFE -  RICHMOND VA,$10.91 ,,
7/18/17,COMCAST                   800-COMCAST MD,$70.32 ,,
7/16/17,WAL-MART #2808            MIDLOTHIAN VA,$17.97 ,,
7/15/17,EXXONMOBIL    47618137    RICHMOND VA,$21.75 ,,
7/14/17,KROGER #504               RICHMOND VA,$80.12 ,,
7/12/17,SQ *FLIRT                 RICHMOND VA,$60.00 ,,
7/12/17,FARM FRESH                RICHMOND VA,$39.91 ,,
7/11/17,FARM FRESH                RICHMOND VA,$18.88 ,,
7/10/17,CASHBUILDER REW CREDIT,,$87.34 ,
7/10/17,PETSMART # 1051           GLEN ALLEN VA,$12.10 ,,
7/10/17,MICHAELS STORES 1541      GLEN ALLEN VA,$7.36 ,,
7/9/17,FARM FRESH                RICHMOND VA,$20.94 ,,
7/8/17,ONLINE CREDIT CARD PMT 07/09 XXXX3466,,$685.05 ,
7/8/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
7/5/17,ALDI 71107 06246010       RICHMOND VA,$76.11 ,,
7/5/17,PETVALU #5223             RICHMOND VA,$16.84 ,,
7/4/17,BP#8286148CIRCLE K ST 27  ROCKY MOUNT NC,$22.02 ,,
7/4/17,FARM FRESH                RICHMOND VA,$3.47 ,,
7/3/17,TACO BELL #30944          CAMP LEJEUNE NC,$12.93 ,,
7/2/17,FOOD LION #0349           JACKSONVILLE NC,$23.17 ,,
7/2/17,WAL-MART #7137            JACKSONVILLE NC,$17.70 ,,
7/2/17,DUCK DONUTS - JACKSONVIL  JACKSONVILLE NC,$2.89 ,,
7/1/17,CAPE FEAR RIVERBOATS INC  WILMINGTON NC,$40.00 ,,
7/1/17,KILWINS-WILMINGTON        WILMINGTON NC,$26.59 ,,
6/30/17,EXXONMOBIL    47866959    EMPORIA VA,$23.20 ,,
6/30/17,DIGITALOCEAN.COM          646-397-8051 NY,$5.27 ,,
6/29/17,FARM FRESH                RICHMOND VA,$2.03 ,,
6/28/17,TREEHOUSE                 800-928-2130 FL,$25.00 ,,
6/27/17,CHRISTIAN CARE MINISTRY M321-308-7770 FL,$76.00 ,,
6/27/17,FEDEX 786994171010        MEMPHIS TN,$36.75 ,,
6/26/17,SEARS AUTO CNTR 7804      RICHMOND VA,$63.95 ,,
6/26/17,ALDI 71107 06246010       RICHMOND VA,$61.48 ,,
6/25/17,ONLINE CREDIT CARD PMT 06/25 XXXX3466,,"$2,318.94 ",
6/25/17,FARM FRESH                RICHMOND VA,$3.06 ,,
6/24/17,EXXONMOBIL    47616495    RICHMOND VA,$24.54 ,,
6/23/17,GOOGLE *PROJECT FI        g.co/payhelp# CA,$105.31 ,,
6/23/17,FARM FRESH                RICHMOND VA,$7.97 ,,
6/23/17,FARM FRESH                RICHMOND VA,$6.64 ,,
6/23/17,REDBOX *DVD RENTAL        OAKBROOK TER IL,$2.13 ,,
6/21/17,SQ *BEV'S HOMEMADE        RICHMOND VA,$12.22 ,,
6/19/17,THE UPS STORE #4572       MECHANICSVILL VA,$21.50 ,,
6/19/17,PARKING CITY OF RICHMOND  RICHMOND VA,$0.90 ,,
6/18/17,ALDI 71107 06246010       RICHMOND VA,$63.42 ,,
6/18/17,COMCAST                   800-COMCAST MD,$30.79 ,,
6/16/17,FARM FRESH                RICHMOND VA,$4.59 ,,
6/16/17,REDBOX *DVD RENTAL        OAKBROOK TER IL,$2.13 ,,
6/15/17,PROGRESSIVE *INSURANCE    800-776-4737 OH,"$1,010.00 ",,
6/15/17,VISTAPR*VistaPrint.com    866-8936743 MA,$32.99 ,,
6/14/17,USPS PO 5176500150        RICHMOND VA,$10.98 ,,
6/14/17,FARM FRESH                RICHMOND VA,$10.12 ,,
6/12/17,ONLINE CREDIT CARD PMT 06/12 XXXX3466,,"$2,549.54 ",
6/12/17,RTG OUTLET RICHMOND       GLENALLEN VA,$982.43 ,,
6/12/17,HOBBY-LOBBY #459          GLEN ALLEN VA,$12.60 ,,
6/11/17,FARM FRESH                RICHMOND VA,$69.74 ,,
6/11/17,SETTE'                    RICHMOND VA,$30.00 ,,
6/11/17,EXXONMOBIL    47806567    HENRICO VA,$24.53 ,,
6/10/17,GREEK ON CARY             RICHMOND VA,$57.88 ,,
6/10/17,FARM FRESH                RICHMOND VA,$8.86 ,,
6/9/17,FIRSTSERVICE RESIDENTIAL  888-6792500 KS,$335.00 ,,
6/9/17,USPS PO 5176500150        RICHMOND VA,$14.71 ,,
6/9/17,CVS/PHARMACY #02973       RICHMOND VA,$10.50 ,,
6/9/17,AMAZON.COM AMZN.COM/BILL  AMZN.COM/BILL WA,$2.11 ,,
6/8/17,FARM FRESH                RICHMOND VA,$20.00 ,,
6/8/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
6/8/17,FARM FRESH                RICHMOND VA,$10.00 ,,
6/8/17,FOOD LION #1430           RICHMOND VA,$5.11 ,,
6/4/17,WAL-MART #2295            RICHMOND VA,$24.45 ,,
6/3/17,BOTTOMS UP PIZZA          RICHMOND VA,$37.40 ,,
6/3/17,LULUS RESTAURANT          RICHMOND VA,$33.00 ,,
6/3/17,FARM FRESH                RICHMOND VA,$3.58 ,,
6/2/17,FARM FRESH                RICHMOND VA,$55.11 ,,
6/2/17,ANTIQUE BOUTIQUE          RICHMOND VA,$35.80 ,,
6/2/17,INSOMNIA COOKIES - RIC    RICHMOND VA,$9.27 ,,
6/2/17,VCU WEB PARKING T2        804-8289852 VA,$1.00 ,,
6/1/17,SHELL OIL 57541175105     RICHMOND VA,$21.01 ,,
6/1/17,COPY CAT PRINTING 2       RICHMOND VA,$10.53 ,,
6/1/17,DIGITALOCEAN.COM          646-397-8051 NY,$5.27 ,,
6/1/17,WM SUPERCENTER #2295      RICHMOND VA,$4.08 ,,
5/29/17,TUFT&NEEDLE               HTTPSWWW.TUFT AZ,$631.80 ,,
5/29/17,MACYS  SHORT PUMP         RICHMOND VA,$118.97 ,,
5/29/17,PETCO 2763    63527634    GLEN ALLEN VA,$65.25 ,,
5/29/17,TRADER JOE'S #659  QPS    GLEN ALLEN VA,$6.63 ,,
5/28/17,TREEHOUSE                 800-928-2130 FL,$25.00 ,,
5/27/17,ONLINE CREDIT CARD PMT 05/27 XXXX3466,,"$5,310.29 ",
5/27/17,PAYPAL *CLEANBYDESI       402-935-7733 CA,$200.00 ,,
5/27/17,FARM FRESH                RICHMOND VA,$85.63 ,,
5/26/17,WM SUPERCENTER #2821      RICHMOND VA,$179.74 ,,
5/26/17,USPS.COM MOVER'S GUIDE    800-238-3150 TN,$1.00 ,,
5/26/17,USPS.COM MOVER'S GUIDE    800-238-3150 TN,$1.00 ,,
5/25/17,AMERICAN CIGAR            RICHMOND VA,"$2,960.52 ",,
5/25/17,AFFORDABLE MOVERS         804-276-9486 VA,$400.00 ,,
5/25/17,QUALITY INNS              LUMBERTON NC,$117.74 ,,
5/25/17,SUNOCO 0113723100         RICHMOND VA,$64.38 ,,
5/25/17,COMCAST                   800-COMCAST MD,$50.00 ,,
5/25/17,EXXONMOBIL    42271791    LUMBERTON NC,$45.00 ,,
5/25/17,FARM FRESH                RICHMOND VA,$41.72 ,,
5/25/17,EXXONMOBIL    42271791    LUMBERTON NC,$20.00 ,,
5/25/17,SUBWAY        03470572    RICHMOND VA,$15.32 ,,
5/24/17,BRIGHT HOUSE NETWORKS     317-972-9700 FL,$79.31 ,,
5/24/17,EXXONMOBIL    99298861    TIMMONSVILLE SC,$57.15 ,,
5/24/17,SUNOCO 0364957100         BRUNSWICK GA,$40.00 ,,
5/24/17,LOVES COUNTRY 00003715    DILLON SC,$31.00 ,,
5/24/17,SUNOCO 0364957100         BRUNSWICK GA,$19.70 ,,
5/24/17,ARBY'S 371                DILLON SC,$17.69 ,,
5/24/17,LOVES TRAVEL S00004051    BRUNSWICK GA,$16.04 ,,
5/23/17,BUDGET1808323681196       ALTAMONTE SPR FL,$766.32 ,,
5/23/17,GOOGLE *PROJECT FI        g.co/payhelp# CA,$97.94 ,,
5/23/17,LOWES #02652*             FERN PARK FL,$27.78 ,,
5/23/17,CHICK-FIL-A #1031         ORLANDO FL,$13.13 ,,
5/22/17,CHRISTIAN CARE MINISTRY M321-308-7770 FL,$76.00 ,,
5/22/17,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
5/21/17,SUNPASS*ACC67090985       888-865-5352 FL,$7.26 ,,
5/20/17,WM SUPERCENTER #3162      ORLANDO FL,$82.71 ,,
5/20/17,7-ELEVEN 25608            MAITLAND FL,$21.60 ,,
5/19/17,PYL*Bear Granville Corpor866-7295327 VA,,$100.00 ,
5/18/17,AMERICAN CIGAR            RICHMOND VA,$150.00 ,,
5/18/17,AMERICAN CIGAR            RICHMOND VA,$100.00 ,,
5/17/17,LES CREPES KIOSK FRANCE   LAKE BUENA VI FL,$16.75 ,,
5/17/17,PECOS BILL'S CAFE         LAKE BUENA VI FL,$13.31 ,,
5/17/17,CHICK-FIL-A #03495        KISSIMMEE FL,$10.74 ,,
5/17/17,CHICK-FIL-A #03495        KISSIMMEE FL,$8.86 ,,
5/16/17,PROPERTY PAYMENT-RENT     805-6992040 CA,$51.50 ,,
5/16/17,HARP AND CELT IRISH PUB   ORLANDO FL,$19.00 ,,
5/15/17,DISCOVERY CHURCH          407-855-3141 FL,$300.00 ,,
5/15/17,PYL*Bear Granville Corpor866-7295327 VA,$116.90 ,,
5/15/17,AMAZON.COM AMZN.COM/BILL  AMZN.COM/BILL WA,$84.14 ,,
5/15/17,SQ *CREDO @ THE EXCHANGE  Orlando FL,$5.00 ,,
5/14/17,5061 FLOYDS 99-ORLANDO    ORLANDO FL,$43.00 ,,
5/13/17,PUBLIX #442               ALTAMONTE SPG FL,$66.81 ,,
5/13/17,ONLINE CREDIT CARD PMT 05/13 XXXX3466,,$34.49 ,
5/10/17,CASHBUILDER REW CREDIT,,$151.00 ,
5/9/17,WAWA STORE 51500051573    ORLANDO FL,$25.68 ,,
5/9/17,PUBLIX #436               ORLANDO FL,$8.81 ,,
5/8/17,ONLINE CREDIT CARD PMT 05/08 XXXX3466,,$834.01 ,
5/5/17,PUBLIX #436               ORLANDO FL,$34.48 ,,
5/5/17,FRESHFIELDS FARM          ORLANDO FL,$31.40 ,,
5/5/17,FRESHFIELDS FARM          ORLANDO FL,$7.14 ,,
5/4/17,4 RIVERS SMOKEHOUS        ORLANDO FL,$19.15 ,,
5/4/17,PUBLIX #542               OCOEE FL,$9.91 ,,
5/4/17,JEREMIAH'S WINDERMERE     WINDERMERE FL,$6.93 ,,
5/3/17,PAYPAL *CDKEYS.COM        402-935-7733 CA,$44.99 ,,
5/3/17,PUBLIX  #1131             ORLANDO FL,$24.79 ,,
5/2/17,CITY OF ORLANDO PKG GARL  ORLANDO FL,$9.00 ,,
5/2/17,PUBLIX #436               ORLANDO FL,$4.69 ,,
5/1/17,DISCOVERY CHURCH          407-855-3141 FL,$300.00 ,,
5/1/17,CHEDDAR'S #870            MELBOURNE FL,$23.00 ,,
5/1/17,WAWA 5192     00051920    WEST MELBOURN FL,$20.33 ,,
5/1/17,DIGITALOCEAN.COM          646-397-8051 NY,$5.27 ,,
4/30/17,PARKING CITY OF RICHMOND  RICHMOND VA,$30.00 ,,
4/30/17,PARK BARK & FLY AIRPOR    ORLANDO FL,$25.30 ,,
4/30/17,COURTYARD RICHMOND DOW    RICHMOND VA,$16.14 ,,
4/30/17,FIREHOUSE SUBS #12        ORLANDO FL,$14.66 ,,
4/30/17,HUDSON ST1415             RICHMOND VA,$10.51 ,,
4/30/17,RICHMOND AIRPORT          RICHMOND VA,$4.94 ,,
4/29/17,ONLINE CREDIT CARD PMT 04/29 XXXX3466,,$376.88 ,
4/29/17,T.J. MAXX #1454           HENRICO VA,$51.55 ,,
4/29/17,ARCH'S FROZEN YOGURT      CHARLOTTESVIL VA,$20.02 ,,
4/29/17,CHICK-FIL-A #01635        RICHMOND VA,$7.21 ,,
4/29/17,CHICK-FIL-A #01635        RICHMOND VA,$6.86 ,,
4/29/17,JIMMY JOHNS - 1741        RICHMOND VA,$3.34 ,,
4/28/17,TREEHOUSE                 800-928-2130 FL,$25.00 ,,
4/28/17,LEGEND BREWING COMPANY    RICHMOND VA,$23.00 ,,
